📺央视频道,#genre#
壶关电视台,https://zmjp3jin.live.sxmty.com/live/hls/268fe96f955d496db37fb10bb887cda9/fc196029d289449ea524a94a95379a0d.m3u8 
涉县综合频道,http://jwcdnqx.hebyun.com.cn/live/SXTV1/1500k/tzwj_video.m3u8
晋城综合,http://live.jinnews.com.cn/xwzh/sd/live.m3u8#http://live.jinnews.com.cn/xwzh/sd/live.m3u8?zshanxd
晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8#http://live.jinnews.com.cn/ggpd/sd/live.m3u8?zshanxd
高平综合,http://live.gprmt.cn/gpnews/hd/live.m3u8 








































☘️河南频道,#genre#
河南卫视高清,http://123.12.182.34:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
河南都市频道,http://123.12.182.34:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河南民生频道,http://123.12.182.34:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河南法制频道,http://123.12.182.34:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧频道,http://123.12.182.34:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
河南新闻频道,http://123.12.182.34:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
河南公共频道,http://123.12.182.34:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
河南新农村频道,http://123.12.182.34:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0






